rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
3,JJ Bumrah (MI),16,16,356,59.2,2,440,20,3/7,3/7,22.00,7.41,17.80,-,MI,Bumrah,2017,2017,Jasprit Bumrah,9.0,7.0,2.0,1.0,Mumbai Indians
4,MJ McClenaghan (MI),14,14,324,54.0,-,507,19,3/24,3/24,26.68,9.38,17.05,-,MI,McClenaghan,2017,2017,Mitchell McClenaghan,7.0,3.0,4.0,1.0,Mumbai Indians
5,Rashid Khan (SRH),14,14,324,54.0,-,358,17,3/19,3/19,21.05,6.62,19.05,-,SRH,Khan,2017,2017,Rashid Khan,10.0,5.0,5.0,3.0,Sunrisers Hyderabad
6,Sandeep Sharma (KXIP),13,13,288,48.0,-,398,17,4/20,4/20,23.41,8.29,16.94,1,KXIP,Sharma,2017,2017,Mohit Sharma,5.0,3.0,2.0,5.0,Kings XI Punjab
7,UT Yadav (KKR),14,14,291,48.3,-,410,17,4/33,4/33,24.11,8.45,17.11,1,KKR,Yadav,2017,2017,Kuldeep Yadav,5.0,2.0,3.0,4.0,Kolkata Knight Riders
8,P Negi (RCB),12,12,193,32.1,-,197,16,3/10,3/10,12.31,6.12,12.06,-,RCB,Negi,2017,2017,Pawan Negi,8.0,3.0,5.0,8.0,Royal Challengers Bangalore
9,S Kaul (SRH),10,10,214,35.4,-,300,16,4/29,4/29,18.75,8.41,13.37,1,SRH,Kaul,2017,2017,Siddarth Kaul,4.0,3.0,1.0,3.0,Sunrisers Hyderabad
10,NM Coulter-Nile (KKR),8,8,170,28.2,-,228,15,3/20,3/20,15.20,8.04,11.33,-,KKR,Coulter-Nile,2017,2017,Nathan Coulter-Nile,5.0,2.0,3.0,4.0,Kolkata Knight Riders
11,AR Patel (KXIP),14,14,288,48.0,-,362,15,3/11,3/11,24.13,7.54,19.20,-,KXIP,Patel,2017,2017,Axar Patel,7.0,2.0,5.0,5.0,Kings XI Punjab
12,PJ Cummins (DC),12,12,277,46.1,-,373,15,2/20,2/20,24.86,8.07,18.46,-,DC,Cummins,2017,2017,Pat Cummins,8.0,5.0,3.0,,
13,YS Chahal (RCB),13,13,261,43.3,-,333,14,3/16,3/16,23.78,7.65,18.64,-,RCB,Chahal,2017,2017,Yuzvendra Chahal,5.0,1.0,4.0,8.0,Royal Challengers Bangalore
14,KV Sharma (MI),9,9,184,30.4,-,214,13,4/16,4/16,16.46,6.97,14.15,1,MI,Sharma,2017,2017,Mohit Sharma,5.0,3.0,2.0,1.0,Mumbai Indians
15,MM Sharma (KXIP),14,14,274,45.4,-,410,13,2/24,2/24,31.53,8.97,21.07,-,KXIP,Sharma,2017,2017,Mohit Sharma,5.0,3.0,2.0,5.0,Kings XI Punjab
