id,venue_name,city,venue_id,toss_won,decision,pom,points,super_over,1st_innings_score,2nd_innings_score,home_team,away_team,home_overs,home_runs,home_wickets,home_key_batter,home_key_bowler,away_overs,away_runs,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,middle_wickets_lost,death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost
1359511,"Sawai Mansingh Stadium, Jaipur", Jaipur,58162,RR,BAT FIRST,Yashasvi Jaiswal,"Rajasthan Royals 2, Chennai Super Kings 0",FALSE,202/5,170/6,RR,CSK,20,202,5,"Yashasvi Jaiswal , Dhruv Jurel ","Adam Zampa, Ravichandran Ashwin",20,170,6,"Shivam Dube , Ruturaj Gaikwad ","Tushar Deshpande, Maheesh Theekshana",64,75,63,0,0,0,42,83,45,1,1,1
1359513,"Eden Gardens, Kolkata", Kolkata,57980,GT,BOWL FIRST,Josh Little,"Gujarat Titans 2, Kolkata Knight Riders 0",FALSE,179/7,180/3,KKR,GT,20,179,7,"Rahmanullah Gurbaz , Andre Russell ","Sunil Narine, Harshit Rana",17.5,180,3,"Vijay Shankar *, Shubman Gill ","Mohammed Shami, Noor Ahmad",61,73,47,2,2,2,52,77,37,1,1,1
1359514,"Arun Jaitley Stadium, Delhi", Delhi,58040,SRH,BAT FIRST,Mitchell Marsh,"Sunrisers Hyderabad 2, Delhi Capitals 0",FALSE,197/6,188/6,DC,SRH,20,188,6,"Mitchell Marsh , Phil Salt ","Mitchell Marsh, Axar Patel",20,197,6,"Abhishek Sharma , Heinrich Klaasen *","Mayank Markande, T Natarajan",57,81,50,1,1,1,62,73,62,2,2,2
1359515,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BAT FIRST,Devon Conway,"Punjab Kings 2, Chennai Super Kings 0",FALSE,200/4,201/6,CSK,KXIP,20,200,4,"Devon Conway *, Ruturaj Gaikwad ","Tushar Deshpande, Ravindra Jadeja",20,201,6,"Prabhsimran Singh , Liam Livingstone ","Rahul Chahar, Arshdeep Singh",57,89,54,0,0,0,62,67,72,1,1,1
1359516,"Wankhede Stadium, Mumbai", Mumbai,58324,RR,BAT FIRST,Yashasvi Jaiswal,"Mumbai Indians 2, Rajasthan Royals 0",FALSE,212/7,214/4,MI,RR,19.3,214,4,"Suryakumar Yadav , Tim David *","Arshad Khan, Piyush Chawla",20,212,7,"Yashasvi Jaiswal , Jos Buttler ","Ravichandran Ashwin, Sandeep Sharma",58,92,46,1,1,1,65,78,69,0,0,0
1359518,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,DC,BAT FIRST,Mohammed Shami,"Delhi Capitals 2, Gujarat Titans 0",FALSE,130/8,125/6,GT,DC,20,125,6,"Hardik Pandya *, Abhinav Manohar ","Mohammed Shami, Mohit Sharma",20,130,8,"Aman Hakim Khan , Axar Patel ","Ishant Sharma, Khaleel Ahmed",31,48,46,3,3,3,28,50,52,5,5,5
1359520,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,MI,BOWL FIRST,Ishan Kishan,"Mumbai Indians 2, Punjab Kings 0",FALSE,214/3,216/4,KXIP,MI,20,214,3,"Liam Livingstone *, Jitesh Sharma *","Nathan Ellis, Rishi Dhawan",18.5,216,4,"Ishan Kishan , Suryakumar Yadav ","Piyush Chawla, Arshad Khan",50,95,73,1,1,1,54,116,33,2,2,2
1359521,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,KKR,BAT FIRST,Varun Chakravarthy,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",FALSE,171/9,166/8,SRH,KKR,20,166,8,"Aiden Markram , Heinrich Klaasen ","T Natarajan, Marco Jansen",20,171,9,"Rinku Singh , Nitish Rana ","Shardul Thakur, Vaibhav Arora",53,81,32,3,3,3,49,80,42,3,3,3
1359523,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BOWL FIRST,Matheesha Pathirana,"Chennai Super Kings 2, Mumbai Indians 0",FALSE,139/8,140/4,CSK,MI,17.4,140,4,"Devon Conway , Ruturaj Gaikwad ","Matheesha Pathirana, Deepak Chahar",20,139,8,"Nehal Wadhera , Suryakumar Yadav ","Piyush Chawla, Akash Madhwal",55,68,9,1,1,1,34,59,49,3,3,3
1359524,"Arun Jaitley Stadium, Delhi", Delhi,58040,RCB,BAT FIRST,Phil Salt,"Delhi Capitals 2, Royal Challengers Bangalore 0",FALSE,181/4,187/3,DC,RCB,16.4,187,3,"Phil Salt , Rilee Rossouw *","Mitchell Marsh, Mukesh Kumar",20,181,4,"Virat Kohli , Mahipal Lomror *","Josh Hazlewood, Karn Sharma",70,96,13,1,1,1,51,75,54,0,0,0
1359525,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,LSG,BOWL FIRST,Shubman Gill,"Gujarat Titans 2, Lucknow Super Giants 0",FALSE,227/2,171/7,GT,LSG,20,227,2,"Shubman Gill *, Wriddhiman Saha ","Mohit Sharma, Noor Ahmad",20,171,7,"Quinton de Kock , Kyle Mayers ","Avesh Khan, Mohsin Khan",78,98,51,0,0,0,72,58,41,0,0,0
1359526,"Sawai Mansingh Stadium, Jaipur", Jaipur,58162,RR,BAT FIRST,Glenn Phillips,"Sunrisers Hyderabad 2, Rajasthan Royals 0",FALSE,214/2,217/6,RR,SRH,20,214,2,"Jos Buttler , Sanju Samson *","Yuzvendra Chahal, Ravichandran Ashwin",20,217,6,"Abhishek Sharma , Rahul Tripathi ","Bhuvneshwar Kumar, Marco Jansen",61,93,60,1,1,1,52,94,71,1,1,1
1359527,"Eden Gardens, Kolkata", Kolkata,57980,KXIP,BAT FIRST,Andre Russell,"Kolkata Knight Riders 2, Punjab Kings 0",FALSE,179/7,182/5,KKR,KXIP,20,182,5,"Nitish Rana , Andre Russell ","Varun Chakravarthy, Harshit Rana",20,179,7,"Shikhar Dhawan , M Shahrukh Khan *","Rahul Chahar, Harpreet Brar",52,70,60,1,1,1,58,66,55,3,3,3
1359528,"Wankhede Stadium, Mumbai", Mumbai,58324,MI,BOWL FIRST,Suryakumar Yadav,"Mumbai Indians 2, Royal Challengers Bangalore 0",FALSE,199/6,200/4,MI,RCB,16.3,200,4,"Suryakumar Yadav , Nehal Wadhera *","Jason Behrendorff, Cameron Green",20,199,6,"Glenn Maxwell , Faf du Plessis ","Vijaykumar Vyshak, Wanindu Hasaranga",62,112,19,2,2,2,56,96,48,2,2,2
1359529,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BAT FIRST,Ravindra Jadeja,"Chennai Super Kings 2, Delhi Capitals 0",FALSE,167/8,140/8,CSK,DC,20,167,8,"Shivam Dube , Ruturaj Gaikwad ","Matheesha Pathirana, Deepak Chahar",20,140,8,"Rilee Rossouw , Manish Pandey ","Mitchell Marsh, Axar Patel",49,68,50,1,1,1,47,44,49,3,3,3
1359530,"Eden Gardens, Kolkata", Kolkata,57980,RR,BOWL FIRST,Yashasvi Jaiswal,"Rajasthan Royals 2, Kolkata Knight Riders 0",FALSE,149/8,151/1,KKR,RR,20,149,8,"Venkatesh Iyer , Nitish Rana ","Sunil Narine, Suyash Sharma",13.1,151,1,"Yashasvi Jaiswal *, Sanju Samson *","Yuzvendra Chahal, Trent Boult",37,77,32,2,2,2,78,69,0,1,1,1
1359531,"Wankhede Stadium, Mumbai", Mumbai,58324,GT,BOWL FIRST,Suryakumar Yadav,"Mumbai Indians 2, Gujarat Titans 0",FALSE,218/5,191/8,MI,GT,20,218,5,"Suryakumar Yadav *, Ishan Kishan ","Akash Madhwal, Piyush Chawla",20,191,8,"Rashid Khan *, David Miller ","Rashid Khan, Mohit Sharma",61,90,67,0,0,0,48,82,61,3,3,3
1359532,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,SRH,BAT FIRST,Prerak Mankad,"Lucknow Super Giants 2, Sunrisers Hyderabad 0",FALSE,182/6,185/3,SRH,LSG,20,182,6,"Heinrich Klaasen , Abdul Samad *","Glenn Phillips, Mayank Markande",19.2,185,3,"Prerak Mankad *, Nicholas Pooran *","Krunal Pandya, Yash Thakur",56,74,52,2,2,2,30,84,65,1,1,1
1359533,"Arun Jaitley Stadium, Delhi", Delhi,58040,DC,BOWL FIRST,Prabhsimran Singh,"Punjab Kings 2, Delhi Capitals 0",FALSE,167/7,136/8,DC,KXIP,20,136,8,"David Warner , Phil Salt ","Ishant Sharma, Mukesh Kumar",20,167,7,"Prabhsimran Singh , Sam Curran ","Harpreet Brar, Rahul Chahar",65,50,21,0,0,0,46,71,50,3,3,3
1359535,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BAT FIRST,Rinku Singh,"Kolkata Knight Riders 2, Chennai Super Kings 0",FALSE,144/6,147/4,CSK,KKR,20,144,6,"Shivam Dube *, Devon Conway ","Deepak Chahar, Tushar Deshpande",18.3,147,4,"Nitish Rana *, Rinku Singh ","Sunil Narine, Varun Chakravarthy",52,40,49,1,1,1,46,71,24,3,3,3
1359536,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,SRH,BOWL FIRST,Shubman Gill,"Gujarat Titans 2, Sunrisers Hyderabad 0",FALSE,188/9,154/9,GT,SRH,20,188,9,"Shubman Gill , Sai Sudharsan ","Mohammed Shami, Mohit Sharma",20,154,9,"Heinrich Klaasen , Bhuvneshwar Kumar ","Bhuvneshwar Kumar, T Natarajan",65,89,34,1,1,1,45,66,43,4,4,4
