rank,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year,season,batter,overall_key_count,home_key_count,away_key_count,team_position,Team Name
6,CH Gayle (RCB),14,14,2,491,117,40.91,333,147.44,1,2,-,39,38,RCB,Gayle,2015,2015,Chris Gayle,4,1,3,3,Royal Challengers Bangalore
7,RG Sharma (MI),16,16,2,482,98*,34.42,333,144.74,-,3,2,41,21,MI,Sharma,2015,2015,Rohit Sharma ,4,2,2,2,Mumbai Indians
8,SS Iyer (DC),14,14,1,439,83,33.76,342,128.36,-,4,2,41,21,DC,Iyer,2015,2015,Shreyas Iyer,5,3,2,7,Delhi Capitals
9,KA Pollard (MI),16,14,3,419,70,38.09,256,163.67,-,2,-,28,28,MI,Pollard,2015,2015,Kieron Pollard ,4,3,1,2,Mumbai Indians
10,JP Duminy (DC),14,13,3,414,78*,41.4,315,131.42,-,4,-,27,20,DC,Duminy,2015,2015,Jean-Paul Duminy ,5,1,4,7,Delhi Capitals
11,DR Smith (CSK),16,16,0,399,62,24.93,335,119.1,-,2,3,52,16,CSK,Smith,2015,2015,Dwayne Smith ,3,1,2,1,Chennai Super Kings
12,F du Plessis (CSK),17,15,2,380,55,29.23,304,125,-,1,-,37,5,CSK,duPlessis,2015,2015,Faf du Plessis,5,2,3,1,Chennai Super Kings
13,SK Raina (CSK),17,17,2,374,62,24.93,305,122.62,-,2,1,31,16,CSK,Raina,2015,2015,Suresh Raina ,3,2,1,1,Chennai Super Kings
14,MS Dhoni (CSK),17,17,5,372,53,31,305,121.96,-,1,1,27,17,CSK,Dhoni,2015,2015,MS Dhoni ,5,4,1,1,Chennai Super Kings
15,S Dhawan (SRH),14,14,1,353,54,27.15,286,123.42,-,3,-,45,6,SRH,Dhawan,2015,2015,Shikhar Dhawan ,5,2,3,6,Sunrisers Hyderabad
1,RV Uthappa (KKR),16,16,1,660,83*,44,479,137.78,-,5,1,74,18,KKR,Uthappa,2014,2014,Robin Uthappa,8,5,3,2,Kolkata Knight Riders
2,DR Smith (CSK),16,16,0,566,79,35.37,416,136.05,-,5,-,50,34,CSK,Smith,2014,2014,Dwayne Smith,5,1,4,3,Chennai Super Kings
3,GJ Maxwell (KXIP),16,16,0,552,95,34.5,294,187.75,-,4,2,48,36,KXIP,Maxwell,2014,2014,Glenn Maxwell,4,2,2,1,Kings XI Punjab
4,SK Raina (CSK),16,16,3,523,87,40.23,359,145.68,-,5,-,51,19,CSK,Raina,2014,2014,Suresh Raina,5,3,2,3,Chennai Super Kings
5,V Sehwag (KXIP),17,17,0,455,122,26.76,315,144.44,1,1,-,56,18,KXIP,Sehwag,2014,2014,Virender Sehwag,4,2,2,1,Kings XI Punjab
6,DA Miller (KXIP),16,16,6,446,66,44.6,299,149.16,-,3,-,34,21,KXIP,Miller,2014,2014,David Miller ,6,3,3,1,Kings XI Punjab
7,JP Duminy (DC),14,14,6,410,67*,51.25,305,134.42,-,2,-,22,20,DC,Duminy,2014,2014,Jean-Paul Duminy,4,2,2,6,Deccan Chargers
8,BB McCullum (CSK),14,14,1,405,71*,31.15,333,121.62,-,3,-,32,19,CSK,McCullum,2014,2014,Brendon McCullum,3,3,0,3,Chennai Super Kings
9,MK Pandey (KKR),16,16,3,401,94,30.84,340,117.94,-,2,1,35,10,KKR,Pandey,2014,2014,Manish Pandey ,3,2,1,2,Kolkata Knight Riders
10,LMP Simmons (MI),8,8,1,394,100*,56.28,291,135.39,1,3,-,43,14,MI,Simmons,2014,2014,Lendl Simmons,3,1,2,4,Mumbai Indians
11,RG Sharma (MI),15,15,2,390,59*,30,302,129.13,-,3,-,31,16,MI,Sharma,2014,2014,Rohit Sharma,4,2,2,4,Mumbai Indians
