rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
3,2014,/cricketers/stephan-myburgh-233712,233712,SJ Myburgh (NED),2014-2014,7,7,0,224,63,32.00,145,154.48,0,3,2,26,13,NED,Myburgh,-48.34698872899978,7,265.143086
4,2014,/cricketers/rohit-sharma-34102,34102,RG Sharma (IND),2014-2014,6,6,1,200,62*,40.00,162,123.45,0,2,0,19,6,IND,Sharma,-21.509951307143197,6,226.705158
5,2014,/cricketers/jean-paul-duminy-44932,44932,JP Duminy (SA),2014-2014,5,5,2,187,86*,62.33,133,140.60,0,1,0,14,8,SA,Duminy,-89.0836324523424,18,214.83314
6,2014,/cricketers/shakib-al-hasan-56143,56143,Shakib Al Hasan (BAN),2014-2014,7,7,2,186,66,37.20,144,129.16,0,1,1,15,9,BAN,Hasan,-74.57453205364608,18,40.42458000000001
7,2014,/cricketers/hashim-amla-43906,43906,HM Amla (SA),2014-2014,5,5,0,185,56,37.00,141,131.20,0,1,0,21,3,SA,Amla,-132.50675187982782,7,254.132875
8,2014,/cricketers/anamul-haque-380354,380354,Anamul Haque (BAN),2014-2014,7,7,1,184,44*,30.66,155,118.70,0,0,1,22,8,BAN,Haque,-94.42202075442681,9,30.351324
9,2014,/cricketers/alex-hales-249866,249866,AD Hales (ENG),2014-2014,4,4,1,166,116*,55.33,105,158.09,1,0,1,19,7,ENG,Hales,-114.36242094208237,12,232.82387999999997
10,2014,/cricketers/aaron-finch-5334,5334,AJ Finch (AUS),2014-2014,4,4,0,158,71,39.50,121,130.57,0,2,0,17,7,AUS,Finch,-34.092413753253325,14,453.075262
11,2014,/cricketers/mahela-jayawardene-49289,49289,DPMD Jayawardene (SL),2014-2014,6,6,1,158,89,31.60,126,125.39,0,1,1,20,3,SL,Jayawardene,-24.098360655737704,6,144.83909
12,2014,/cricketers/glenn-maxwell-325026,325026,GJ Maxwell (AUS),2014-2014,4,4,0,147,74,36.75,70,210.00,0,1,0,13,12,AUS,Maxwell,-13.269409306774818,22,441.3654350000001
13,2014,/cricketers/kane-williamson-277906,277906,KS Williamson (NZ),2014-2014,4,4,1,146,51,48.66,117,124.78,0,1,0,20,2,NZ,Williamson,-66.20170535533593,11,106.24894499999999
14,2014,/cricketers/chris-gayle-51880,51880,CH Gayle (WI),2014-2014,5,5,0,143,53,28.60,133,107.51,0,1,0,11,6,WI,Gayle,-54.51852998876181,9,258.13633
15,2014,/cricketers/wesley-barresi-44407,44407,W Barresi (NED),2014-2014,7,7,1,143,48,23.83,115,124.34,0,0,0,10,7,NED,Barresi,-19.87936763842692,7,189.055544
1,2012,/cricketers/shane-watson-8180,8180,SR Watson (AUS),2012-2012,6,6,1,249,72,49.80,166,150.00,0,3,0,19,15,AUS,Watson,-46.94979663911975,22,215.229746
2,2012,/cricketers/mahela-jayawardene-49289,49289,DPMD Jayawardene (SL),2012-2012,7,7,1,243,65*,40.50,209,116.26,0,1,0,29,5,SL,Jayawardene,-29.194788275808147,9,245.345405
3,2012,/cricketers/marlon-samuels-52983,52983,MN Samuels (WI),2012-2012,7,6,0,230,78,38.33,173,132.94,0,3,0,14,15,WI,Samuels,-57.21625062143146,20,376.09322000000003
4,2012,/cricketers/chris-gayle-51880,51880,CH Gayle (WI),2012-2012,7,6,1,222,75*,44.40,148,150.00,0,3,0,19,16,WI,Gayle,-90.69171577494836,15,437.79284
5,2012,/cricketers/brendon-mccullum-37737,37737,BB McCullum (NZ),2012-2012,5,5,0,212,123,42.40,133,159.39,1,0,0,20,10,NZ,McCullum,-107.60874873345725,14,260.279384
6,2012,/cricketers/luke-wright-23460,23460,LJ Wright (ENG),2012-2012,5,5,1,193,99*,48.25,114,169.29,0,2,1,14,13,ENG,Wright,-81.74058035519691,12,194.550976
7,2012,/cricketers/virat-kohli-253802,253802,V Kohli (IND),2012-2012,5,5,1,185,78*,46.25,151,122.51,0,2,0,20,4,IND,Kohli,-68.02445813998503,21,292.525188
8,2012,/cricketers/tillakaratne-dilshan-48472,48472,TM Dilshan (SL),2012-2012,7,7,0,179,76,25.57,148,120.94,0,1,2,17,4,SL,Dilshan,-54.02698669969307,10,257.10306799999995
9,2012,/cricketers/kumar-sangakkara-50710,50710,KC Sangakkara (SL),2012-2012,7,7,1,170,44,28.33,134,126.86,0,0,0,18,1,SL,Sangakkara,-23.708868501790953,9,323.39749
10,2012,/cricketers/mohammad-hafeez-41434,41434,Mohammad Hafeez (PAK),2012-2012,6,6,0,164,45,27.33,167,98.20,0,0,0,15,4,PAK,Hafeez,-71.70123763433021,32,377.711461
11,2012,/cricketers/michael-hussey-5939,5939,MEK Hussey (AUS),2012-2012,6,5,3,155,54*,77.50,126,123.01,0,1,0,12,4,AUS,Hussey,-35.76805350906752,10,131.37459199999998
12,2012,/cricketers/imran-nazir-40563,40563,Imran Nazir (PAK),2012-2012,6,6,0,153,72,25.50,102,150.00,0,1,0,24,3,PAK,Nazir,-18.31718912735406,9,255.183654
13,2012,/cricketers/nasir-jamshed-42321,42321,Nasir Jamshed (PAK),2012-2012,6,6,1,148,56,29.60,110,134.54,0,2,1,8,8,PAK,Jamshed,-38.099490913938624,11,245.417639
14,2012,/cricketers/ross-taylor-38699,38699,LRPL Taylor (NZ),2012-2012,5,5,2,147,62*,49.00,101,145.54,0,1,0,12,4,NZ,Taylor,-52.75814431594035,7,88.423965
15,2012,/cricketers/eoin-morgan-24598,24598,EJG Morgan (ENG),2012-2012,5,5,1,140,71*,35.00,111,126.12,0,1,0,7,7,ENG,Morgan,-88.12912695083773,13,338.324178
1,2010,/cricketers/mahela-jayawardene-49289,49289,DPMD Jayawardene (SL),2010-2010,6,6,1,302,100,60.40,189,159.78,1,2,0,29,11,SL,Jayawardene,-34.99592506043551,9,260.92555200000004
2,2010,/cricketers/kevin-pietersen-19296,19296,KP Pietersen (ENG),2010-2010,6,6,2,248,73*,62.00,180,137.77,0,2,0,24,7,ENG,Pietersen,-40.55525846702317,7,238.66500299999998
3,2010,/cricketers/salman-butt-42683,42683,Salman Butt (PAK),2010-2010,6,6,1,223,73,44.60,170,131.17,0,2,0,26,4,PAK,Butt,-44.39787126187993,8,216.01621
4,2010,/cricketers/craig-kieswetter-230855,230855,C Kieswetter (ENG),2010-2010,7,7,0,222,63,31.71,190,116.84,0,1,0,20,11,ENG,Kieswetter,-20.055300829512447,8,296.257919
5,2010,/cricketers/suresh-raina-33335,33335,SK Raina (IND),2010-2010,5,5,0,219,101,43.80,150,146.00,1,1,0,22,8,IND,Raina,-31.512109910736502,8,199.297646
6,2010,/cricketers/michael-hussey-5939,5939,MEK Hussey (AUS),2010-2010,7,6,4,188,60*,94.00,107,175.70,0,1,0,14,9,AUS,Hussey,-19.869004018720428,8,556.79147
7,2010,/cricketers/eoin-morgan-24598,24598,EJG Morgan (ENG),2010-2010,7,7,2,183,55,36.60,142,128.87,0,1,0,16,5,ENG,Morgan,-37.083580928676994,10,351.306489
8,2010,/cricketers/kamran-akmal-41028,41028,Kamran Akmal (PAK),2010-2010,6,6,0,180,73,30.00,149,120.80,0,2,1,19,6,PAK,Akmal,-75.60193259045792,11,269.62662
9,2010,/cricketers/cameron-white-8291,8291,CL White (AUS),2010-2010,7,7,3,180,85*,45.00,123,146.34,0,1,0,10,12,AUS,White,-54.40341358504938,14,490.789184
10,2010,/cricketers/david-hussey-5766,5766,DJ Hussey (AUS),2010-2010,7,7,1,179,59,29.83,137,130.65,0,2,1,8,10,AUS,Hussey,-64.31982512607226,23,561.993331
11,2010,/cricketers/jacques-kallis-45789,45789,JH Kallis (SA),2010-2010,5,5,0,171,73,34.20,147,116.32,0,1,0,6,8,SA,Kallis,-38.99476815678635,11,146.85106499999998
12,2010,/cricketers/shane-watson-8180,8180,SR Watson (AUS),2010-2010,7,7,0,163,81,23.28,111,146.84,0,2,0,10,11,AUS,Watson,-42.45656741137915,23,717.540487
