rank,year,player_url,player_id,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,team,bowler_surname,year_matches_played,year_neg_bowling_clutch_metric,year_pos_bowling_clutch_metric
11,2021,/cricketers/jan-frylinck-482478,482478,JN Frylinck (NAM),2021-2021,7,7,135,22.3,0,168,9,3/21,18.66,7.46,15.00,0,0,NAM,Frylinck,21,-27.33301889428661,4.5737383184648825
12,2021,/cricketers/ish-sodhi-559066,559066,IS Sodhi (NZ),2021-2021,7,7,144,24.0,0,194,9,2/17,21.55,8.08,16.00,0,0,NZ,Sodhi,20,-18.799324224035487,4.369872469375965
13,2021,/cricketers/mitchell-starc-311592,311592,MA Starc (AUS),2021-2021,7,7,162,27.0,0,248,9,2/21,27.55,9.18,18.00,0,0,AUS,Starc,19,-32.7496019094521,2.568033718118289
14,2021,/cricketers/rashid-khan-793463,793463,Rashid Khan (AFG),2021-2021,5,5,110,18.2,0,112,8,4/9,14.00,6.10,13.75,1,0,AFG,Khan,13,-7.0507394370821785,2.832272873391814
15,2021,/cricketers/tabraiz-shamsi-379145,379145,T Shamsi (SA),2021-2021,5,5,114,19.0,0,121,8,3/17,15.12,6.36,14.25,0,0,SA,Shamsi,26,-25.96012898048121,5.376609502618286
1,2016,/cricketers/mohammad-nabi-25913,25913,Mohammad Nabi (AFG),2016-2016,7,7,162,27.0,1,164,12,4/20,13.66,6.07,13.50,1,0,AFG,Nabi,30,-12.305182237073806,4.5999365847574545
2,2016,/cricketers/rashid-khan-793463,793463,Rashid Khan (AFG),2016-2016,7,7,168,28.0,0,183,11,3/11,16.63,6.53,15.27,0,0,AFG,Khan,21,-13.685042961953304,6.000158771072526
3,2016,/cricketers/mitchell-santner-502714,502714,MJ Santner (NZ),2016-2016,5,5,109,18.1,0,114,10,4/11,11.40,6.27,10.90,1,0,NZ,Santner,15,-3.61886994041504,3.3165053416921286
4,2016,/cricketers/ish-sodhi-559066,559066,IS Sodhi (NZ),2016-2016,5,5,118,19.4,0,120,10,3/18,12.00,6.10,11.80,0,0,NZ,Sodhi,6,-1.8064516129032255,2.0358566192718057
5,2016,/cricketers/david-willey-308251,308251,DJ Willey (ENG),2016-2016,6,6,126,21.0,0,159,10,3/20,15.90,7.57,12.60,0,0,ENG,Willey,13,-15.263075951433642,1.4981675287385623
6,2016,/cricketers/shakib-al-hasan-56143,56143,Shakib Al Hasan (BAN),2016-2016,7,6,138,23.0,0,166,10,4/15,16.60,7.21,13.80,1,0,BAN,Hasan,30,-40.996610787496294,2.5231277447924407
7,2016,/cricketers/mustafizur-rahman-330902,330902,Mustafizur Rahman (BAN),2016-2016,3,3,72,12.0,0,86,9,5/22,9.55,7.16,8.00,0,1,BAN,Rahman,10,-18.806870143831624,2.154037124976472
8,2016,/cricketers/samuel-badree-51433,51433,S Badree (WI),2016-2016,6,6,138,23.0,1,124,9,3/12,13.77,5.39,15.33,0,0,WI,Badree,11,-4.377275295540455,2.9526855411431914
9,2016,/cricketers/andre-russell-276298,276298,AD Russell (WI),2016-2016,6,6,144,24.0,0,189,9,2/23,21.00,7.87,16.00,0,0,WI,Russell,14,-2.57703081232493,2.1617849234844013
10,2016,/cricketers/dwayne-bravo-51439,51439,DJ Bravo (WI),2016-2016,6,6,144,24.0,0,190,9,3/37,21.11,7.91,16.00,0,0,WI,Bravo,18,-19.810229382819948,2.667674661076196
11,2016,/cricketers/james-faulkner-270484,270484,JP Faulkner (AUS),2016-2016,4,4,79,13.1,0,106,8,5/27,13.25,8.05,9.87,0,1,AUS,Faulkner,17,-14.666566256132086,3.04992140855778
12,2016,/cricketers/al-amin-hossain-511532,511532,Al-Amin Hossain (BAN),2016-2016,7,6,108,18.0,0,155,8,2/24,19.37,8.61,13.50,0,0,BAN,Hossain,14,-27.55139434076374,2.7275105480353776
13,2016,/cricketers/kyle-abbott-297583,297583,KJ Abbott (SA),2016-2016,3,3,67,11.1,0,91,7,3/41,13.00,8.14,9.57,0,0,SA,Abbott,9,-9.606493506493507,1.3918248841738514
14,2016,/cricketers/paul-van-meekeren-348109,348109,PA van Meekeren (NED),2016-2016,3,2,36,6.0,0,28,6,4/11,4.66,4.66,6.00,1,0,NED,Meekeren,5,-5.74510247765189,1.2981225420706055
15,2016,/cricketers/imran-tahir-40618,40618,Imran Tahir (SA),2016-2016,4,4,96,16.0,0,83,6,2/13,13.83,5.18,16.00,0,0,SA,Tahir,9,-16.26475592878662,2.031852680879896
1,2014,/cricketers/imran-tahir-40618,40618,Imran Tahir (SA),2014-2014,5,5,120,20.0,0,131,12,4/21,10.91,6.55,10.00,1,0,SA,Tahir,10,-12.096555793687813,1.8438014731051375
2,2014,/cricketers/ahsan-malik-518097,518097,Ahsan Malik (NED),2014-2014,7,7,149,24.5,0,166,12,5/19,13.83,6.68,12.41,0,1,NED,Malik,9,-6.581174600251592,2.2216048517383014
3,2014,/cricketers/samuel-badree-51433,51433,S Badree (WI),2014-2014,5,5,120,20.0,0,113,11,4/15,10.27,5.65,10.90,1,0,WI,Badree,15,-16.563254605339445,4.390669009508017
4,2014,/cricketers/ravichandran-ashwin-26421,26421,R Ashwin (IND),2014-2014,6,6,139,23.1,0,124,11,4/11,11.27,5.35,12.63,1,0,IND,Ashwin,8,-11.131792788217368,3.5386542788616078
5,2014,/cricketers/amit-mishra-31107,31107,A Mishra (IND),2014-2014,6,6,132,22.0,1,147,10,3/26,14.70,6.68,13.20,0,0,IND,Mishra,6,-3.0303030303030303,2.2314056646384515
6,2014,/cricketers/al-amin-hossain-511532,511532,Al-Amin Hossain (BAN),2014-2014,7,7,153,25.3,0,187,10,3/21,18.70,7.33,15.30,0,0,BAN,Hossain,9,-13.839049160390244,1.0430959844752952
7,2014,/cricketers/dale-steyn-47492,47492,DW Steyn (SA),2014-2014,5,5,115,19.1,0,153,9,4/17,17.00,7.98,12.77,1,0,SA,Steyn,8,-9.574003121895842,1.713974146075106
8,2014,/cricketers/timm-van-der-gugten-333782,333782,T van der Gugten (NED),2014-2014,7,7,150,25.0,0,169,9,3/30,18.77,6.76,16.66,0,0,NED,Gugten,9,-10.813622505166832,1.9956957028427484
9,2014,/cricketers/nuwan-kulasekara-49535,49535,KMDN Kulasekara (SL),2014-2014,6,6,113,18.5,3,121,8,4/32,15.12,6.42,14.12,1,0,SL,Kulasekara,14,-0.8376963350785341,16.575042312543633
10,2014,/cricketers/krishmar-santokie-314622,314622,K Santokie (WI),2014-2014,5,5,113,18.5,0,129,8,3/17,16.12,6.84,14.12,0,0,WI,Santokie,10,-15.172469605652598,2.97859356958123
11,2014,/cricketers/shakib-al-hasan-56143,56143,Shakib Al Hasan (BAN),2014-2014,7,7,151,25.1,0,143,8,3/8,17.87,5.68,18.87,0,0,BAN,Hasan,18,-22.07876062020477,1.1554250933544823
12,2014,/cricketers/rangana-herath-49178,49178,HMRKB Herath (SL),2014-2014,3,3,69,11.3,2,53,6,5/3,8.83,4.60,11.50,0,1,SL,Herath,4,,4.278181394308939
13,2014,/cricketers/nadeem-ahmed-24230,24230,Nadeem Ahmed (HKG),2014-2014,3,3,63,10.3,0,69,6,4/21,11.50,6.57,10.50,1,0,HKG,Ahmed,7,-8.482020987174504,0.7835987136245981
14,2014,/cricketers/andre-russell-276298,276298,AD Russell (WI),2014-2014,5,5,67,11.1,0,89,6,2/10,14.83,7.97,11.16,0,0,WI,Russell,25,-58.311508495454895,1.4163679343705782
15,2014,/cricketers/sunil-narine-230558,230558,SP Narine (WI),2014-2014,5,5,120,20.0,1,92,6,3/16,15.33,4.60,20.00,0,0,WI,Narine,19,-32.48313093773276,2.941575924918129
1,2012,/cricketers/ajantha-mendis-268739,268739,BAW Mendis (SL),2012-2012,6,6,144,24.0,3,147,15,6/8,9.80,6.12,9.60,1,1,SL,Mendis,7,-0.7622504537205079,4.767594674840902
2,2012,/cricketers/shane-watson-8180,8180,SR Watson (AUS),2012-2012,6,6,144,24.0,0,176,11,3/26,16.00,7.33,13.09,0,0,AUS,Watson,22,-15.829100884886946,3.0950569234137038
3,2012,/cricketers/mitchell-starc-311592,311592,MA Starc (AUS),2012-2012,6,6,144,24.0,0,164,10,3/20,16.40,6.83,14.40,0,0,AUS,Starc,10,-5.372039938253359,2.5380636475008367
4,2012,/cricketers/lakshmipathy-balaji-26829,26829,L Balaji (IND),2012-2012,4,4,72,12.0,0,88,9,3/19,9.77,7.33,8.00,0,0,IND,Balaji,5,-2.946428571428571,1.3355358404418762
5,2012,/cricketers/sunil-narine-230558,230558,SP Narine (WI),2012-2012,7,7,148,24.4,0,139,9,3/9,15.44,5.63,16.44,0,0,WI,Narine,15,-8.70451550457293,4.752648022072856
6,2012,/cricketers/saeed-ajmal-42699,42699,Saeed Ajmal (PAK),2012-2012,6,6,144,24.0,1,163,9,4/30,18.11,6.79,16.00,1,0,PAK,Ajmal,21,-23.16593050712492,3.587631203725969
7,2012,/cricketers/ravi-rampaul-52912,52912,R Rampaul (WI),2012-2012,7,7,143,23.5,1,189,9,3/16,21.00,7.93,15.88,0,0,WI,Rampaul,9,-6.991148232657657,1.8337272194553391
8,2012,/cricketers/yuvraj-singh-36084,36084,Yuvraj Singh (IND),2012-2012,5,5,82,13.4,0,81,8,3/24,10.12,5.92,10.25,0,0,IND,Singh,19,-14.124780426819141,2.7078183682010577
9,2012,/cricketers/steven-finn-210283,210283,ST Finn (ENG),2012-2012,5,5,120,20.0,0,123,8,3/16,15.37,6.15,15.00,0,0,ENG,Finn,12,-14.369018469822144,2.812557190449549
10,2012,/cricketers/tim-southee-232364,232364,TG Southee (NZ),2012-2012,5,5,108,18.0,1,144,8,3/16,18.00,8.00,13.50,0,0,NZ,Southee,15,-37.107578921897904,2.037741843093839
11,2012,/cricketers/lasith-malinga-49758,49758,SL Malinga (SL),2012-2012,7,7,147,24.3,0,207,8,5/31,25.87,8.44,18.37,0,1,SL,Malinga,11,-26.95066638578345,1.968345944542316
12,2012,/cricketers/jacques-kallis-45789,45789,JH Kallis (SA),2012-2012,5,5,66,11.0,1,73,7,4/15,10.42,6.63,9.42,1,0,SA,Kallis,13,-20.512571614077284,1.5945201166355014
13,2012,/cricketers/graeme-swann-20431,20431,GP Swann (ENG),2012-2012,5,5,114,19.0,2,117,7,2/22,16.71,6.15,16.28,0,0,ENG,Swann,16,-11.253982526680412,2.8477764248622943
14,2012,/cricketers/stuart-broad-10617,10617,SCJ Broad (ENG),2012-2012,5,5,114,19.0,2,141,7,3/32,20.14,7.42,16.28,0,0,ENG,Broad,16,-19.335319011217113,2.3724245160052044
15,2012,/cricketers/dale-steyn-47492,47492,DW Steyn (SA),2012-2012,5,5,102,17.0,1,82,6,3/22,13.66,4.82,17.00,0,0,SA,Steyn,8,-9.761787078907703,2.7011564750927217
1,2010,/cricketers/dirk-nannes-6981,6981,DP Nannes (AUS),2010-2010,7,7,156,26.0,1,183,14,4/18,13.07,7.03,11.14,1,0,AUS,Nannes,18,-17.139393674856148,3.758066981972823
2,2010,/cricketers/charl-langeveldt-45963,45963,CK Langeveldt (SA),2010-2010,4,4,96,16.0,0,104,11,4/19,9.45,6.50,8.72,1,0,SA,Langeveldt,6,-4.388098823266968,1.2469331673993391
3,2010,/cricketers/steven-smith-267192,267192,SPD Smith (AUS),2010-2010,7,7,138,23.0,1,163,11,3/20,14.81,7.08,12.54,0,0,AUS,Smith,23,-13.280465556087071,2.6870866399688897
4,2010,/cricketers/saeed-ajmal-42699,42699,Saeed Ajmal (PAK),2010-2010,6,6,134,22.2,0,169,11,4/26,15.36,7.56,12.18,1,0,PAK,Ajmal,26,-52.874495574613505,2.003422697420975
5,2010,/cricketers/graeme-swann-20431,20431,GP Swann (ENG),2010-2010,7,6,132,22.0,0,144,10,3/24,14.40,6.54,13.20,0,0,ENG,Swann,12,-2.0601899827288426,4.0789359512838015
6,2010,/cricketers/mitchell-johnson-6033,6033,MG Johnson (AUS),2010-2010,6,6,134,22.2,0,145,10,3/15,14.50,6.49,13.40,0,0,AUS,Johnson,19,-17.593254064565155,3.355086488698717
7,2010,/cricketers/ashish-nehra-31820,31820,A Nehra (IND),2010-2010,5,5,120,20.0,0,156,10,3/19,15.60,7.80,12.00,0,0,IND,Nehra,7,-7.953220922003325,1.1691641374236
8,2010,/cricketers/ryan-sidebottom-20187,20187,RJ Sidebottom (ENG),2010-2010,7,7,129,21.3,0,160,10,3/23,16.00,7.44,12.90,0,0,ENG,Sidebottom,9,-4.66321243523316,2.544239460340796
9,2010,/cricketers/shaun-tait-8076,8076,SW Tait (AUS),2010-2010,7,7,142,23.4,2,131,9,3/20,14.55,5.53,15.77,0,0,AUS,Tait,18,-18.97072196433825,4.417695211706534
10,2010,/cricketers/morne-morkel-46538,46538,M Morkel (SA),2010-2010,4,4,90,15.0,0,119,8,4/20,14.87,7.93,11.25,1,0,SA,Morkel,9,-9.393210371558409,2.4784048305891804
11,2010,/cricketers/stuart-broad-10617,10617,SCJ Broad (ENG),2010-2010,7,6,125,20.5,0,140,8,2/21,17.50,6.72,15.62,0,0,ENG,Broad,10,-5.784455958549223,2.9307422513682035
12,2010,/cricketers/mohammad-amir-290948,290948,Mohammad Amir (PAK),2010-2010,6,6,138,23.0,1,152,8,3/23,19.00,6.60,17.25,0,0,PAK,Amir,12,-15.949334891735868,1.7706219377000123
13,2010,/cricketers/nathan-mccullum-37749,37749,NL McCullum (NZ),2010-2010,5,5,114,19.0,0,124,7,3/16,17.71,6.52,16.28,0,0,NZ,McCullum,23,-16.555407745284043,3.2135951404209955
14,2010,/cricketers/david-hussey-5766,5766,DJ Hussey (AUS),2010-2010,7,4,48,8.0,0,47,6,2/3,7.83,5.87,8.00,0,0,AUS,Hussey,23,-12.720416593656033,2.0439533960035434
15,2010,/cricketers/scott-styris-38407,38407,SB Styris (NZ),2010-2010,5,4,54,9.0,0,48,6,3/5,8.00,5.33,9.00,0,0,NZ,Styris,15,-11.721969633555704,1.9240787310884917
1,2009,/cricketers/umar-gul-43524,43524,Umar Gul (PAK),2009-2009,7,7,147,24.3,0,158,13,5/6,12.15,6.44,11.30,0,1,PAK,Gul,12,-6.070391806855267,5.299618720352207
2,2009,/cricketers/ajantha-mendis-268739,268739,BAW Mendis (SL),2009-2009,7,7,156,26.0,0,143,12,3/9,11.91,5.50,13.00,0,0,SL,Mendis,11,-9.410714285714286,3.8345471884160824
3,2009,/cricketers/saeed-ajmal-42699,42699,Saeed Ajmal (PAK),2009-2009,7,7,168,28.0,0,163,12,4/19,13.58,5.82,14.00,1,0,PAK,Ajmal,12,-4.261192549719623,3.828717194346083
4,2009,/cricketers/lasith-malinga-49758,49758,SL Malinga (SL),2009-2009,7,7,152,25.2,0,181,12,3/17,15.08,7.14,12.66,0,0,SL,Malinga,18,-22.159897076581146,2.4348143289064463
5,2009,/cricketers/shahid-afridi-42639,42639,Shahid Afridi (PAK),2009-2009,7,7,168,28.0,0,149,11,4/11,13.54,5.32,15.27,1,0,PAK,Afridi,21,-10.07554858368944,4.964099432266758
6,2009,/cricketers/roelof-van-der-merwe-47850,47850,RE van der Merwe (SA),2009-2009,6,6,144,24.0,0,135,10,2/14,13.50,5.62,14.40,0,0,SA,Merwe,12,-21.77247995939816,
7,2009,/cricketers/dwayne-bravo-51439,51439,DJ Bravo (WI),2009-2009,6,6,126,21.0,0,184,10,4/38,18.40,8.76,12.60,1,0,WI,Bravo,13,-20.16623411588748,1.7616942816310912
8,2009,/cricketers/wayne-parnell-265564,265564,WD Parnell (SA),2009-2009,6,6,125,20.5,0,119,9,4/13,13.22,5.71,13.88,1,0,SA,Parnell,8,-9.175183438155138,3.237793571622696
9,2009,/cricketers/dale-steyn-47492,47492,DW Steyn (SA),2009-2009,6,6,132,22.0,0,145,9,2/21,16.11,6.59,14.66,0,0,SA,Steyn,12,-11.2153528527822,2.2814401136128013
10,2009,/cricketers/muthiah-muralidaran-49636,49636,M Muralidaran (SL),2009-2009,7,7,162,27.0,0,158,9,3/29,17.55,5.85,18.00,0,0,SL,Muralidaran,10,-8.143560767590621,2.2700037179542547
11,2009,/cricketers/kyle-mccallan-24251,24251,WK McCallan (IRE),2009-2009,5,5,117,19.3,0,137,8,2/26,17.12,7.02,14.62,0,0,IRE,McCallan,8,-8.50288893827245,0.8960976301972471
12,2009,/cricketers/alex-cusack-293983,293983,AR Cusack (IRE),2009-2009,5,5,102,17.0,0,153,8,4/18,19.12,9.00,12.75,1,0,IRE,Cusack,9,-9.864236995504196,0.4882154882154882
13,2009,/cricketers/pragyan-ojha-32130,32130,PP Ojha (IND),2009-2009,3,3,66,11.0,0,68,7,4/21,9.71,6.18,9.42,1,0,IND,Ojha,5,-12.936717465866339,0.9345794392523366
14,2009,/cricketers/zaheer-khan-30102,30102,Z Khan (IND),2009-2009,5,5,88,14.4,0,123,7,4/19,17.57,8.38,12.57,1,0,IND,Khan,10,-19.661610707975047,0.4376128278645004
15,2009,/cricketers/jerome-taylor-53191,53191,JE Taylor (WI),2009-2009,6,6,132,22.0,0,194,7,3/30,27.71,8.81,18.85,0,0,WI,Taylor,8,-8.501467234387745,0.6979308167862877
1,2007,/cricketers/umar-gul-43524,43524,Umar Gul (PAK),2007-2007,7,7,166,27.4,0,155,13,4/25,11.92,5.60,12.76,1,0,PAK,Gul,9,-1.3307984790874523,2.9798472648750645
2,2007,/cricketers/stuart-clark-4582,4582,SR Clark (AUS),2007-2007,6,6,144,24.0,0,144,12,4/20,12.00,6.00,12.00,1,0,AUS,Clark,7,-13.030851979345956,1.8835786730704616
3,2007,/cricketers/rp-singh-35280,35280,RP Singh (IND),2007-2007,7,6,144,24.0,0,152,12,4/13,12.66,6.33,12.00,1,0,IND,Singh,7,-2.921245421245421,2.6839624887720355
4,2007,/cricketers/shahid-afridi-42639,42639,Shahid Afridi (PAK),2007-2007,7,7,168,28.0,1,188,12,4/19,15.66,6.71,14.00,1,0,PAK,Afridi,15,-7.636246480712856,2.905210976616288
5,2007,/cricketers/daniel-vettori-38710,38710,DL Vettori (NZ),2007-2007,6,6,144,24.0,0,128,11,4/20,11.63,5.33,13.09,1,0,NZ,Vettori,15,-13.421191020527804,2.0394546487896874
6,2007,/cricketers/irfan-pathan-32685,32685,IK Pathan (IND),2007-2007,7,6,132,22.0,1,149,10,3/16,14.90,6.77,13.20,0,0,IND,Pathan,11,-9.670329670329672,2.400843229711969
7,2007,/cricketers/mohammad-asif-41411,41411,Mohammad Asif (PAK),2007-2007,7,7,161,26.5,0,212,10,4/18,21.20,7.90,16.10,1,0,PAK,Asif,8,-3.167300380228137,1.1356784423812152
8,2007,/cricketers/morne-morkel-46538,46538,M Morkel (SA),2007-2007,5,5,120,20.0,0,120,9,4/17,13.33,6.00,13.33,1,0,SA,Morkel,6,-4.067796610169491,2.2673671084369214
9,2007,/cricketers/nathan-bracken-4185,4185,NW Bracken (AUS),2007-2007,6,6,134,22.2,0,142,8,3/16,17.75,6.35,16.75,0,0,AUS,Bracken,10,-19.10346528973035,2.6295403544327507
