date,venue_link,venue_name,match_url,match_id
"Aug 29, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/romania-vs-austria-1st-match-1197842/full-scorecard,867
"Aug 25, 2019",/cricket-grounds/white-hill-field-sandys-parish-hamilton-1197492, Sandys Parish,/series/icc-mt20wc-am-final-2019-1197391/bermuda-vs-cayman-islands-12th-match-1197407/full-scorecard,866
"Aug 21, 2019",/cricket-grounds/white-hill-field-sandys-parish-hamilton-1197492, Sandys Parish,/series/icc-mt20wc-am-final-2019-1197391/bermuda-vs-cayman-islands-5th-match-1197400/full-scorecard,857
"Aug 18, 2019",/cricket-grounds/kerava-national-cricket-ground-1195112,Kerava,/series/spain-tour-of-finland-2019-1195127/finland-vs-spain-3rd-t20i-1195134/full-scorecard,850
"Aug 17, 2019",/cricket-grounds/kerava-national-cricket-ground-1195112,Kerava,/series/spain-tour-of-finland-2019-1195127/finland-vs-spain-2nd-t20i-1195133/full-scorecard,849
"Aug 17, 2019",/cricket-grounds/kerava-national-cricket-ground-1195112,Kerava,/series/spain-tour-of-finland-2019-1195127/finland-vs-spain-1st-t20i-1195132/full-scorecard,848
"Jul 27, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/t20-wc-asia-region-final-2019-1190756/malaysia-vs-qatar-9th-match-1190775/full-scorecard,839
"Jul 26, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/t20-wc-asia-region-final-2019-1190756/singapore-vs-malaysia-7th-match-1190773/full-scorecard,837
"Jul 26, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/t20-wc-asia-region-final-2019-1190756/kuwait-vs-qatar-6th-match-1190772/full-scorecard,836
"Jul 22, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/t20-wc-asia-region-final-2019-1190756/kuwait-vs-malaysia-2nd-match-1190768/full-scorecard,833
"Jul 22, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/t20-wc-asia-region-final-2019-1190756/singapore-vs-qatar-1st-match-1190767/full-scorecard,832
"Jul 13, 2019",/cricket-grounds/svanholm-park-brondby-209731,Brondby,/series/finland-tour-of-denmark-2019-1192820/denmark-vs-finland-2nd-t20i-1192824/full-scorecard,829
"Jul 13, 2019",/cricket-grounds/svanholm-park-brondby-209731,Brondby,/series/finland-tour-of-denmark-2019-1192820/denmark-vs-finland-1st-t20i-1192823/full-scorecard,828
"Jul 12, 2019",/cricket-grounds/faleata-oval-no-3-apia-579732,Apia (No 3),/series/pacific-games-mcc-2019-1192790/samoa-vs-vanuatu-5th-match-1192816/full-scorecard,823
"Jul 9, 2019",/cricket-grounds/faleata-oval-no-1-apia-547453,Apia (No 1),/series/pacific-games-mcc-2019-1192790/samoa-vs-vanuatu-3rd-match-1192813/full-scorecard,821
"Jul 6, 2019",/cricket-grounds/west-end-park-international-cricket-stadium-doha-698949,Doha,/series/kuwait-tour-of-qatar-2019-1192554/qatar-vs-kuwait-3rd-t20i-1192558/full-scorecard,818
"Jul 5, 2019",/cricket-grounds/west-end-park-international-cricket-stadium-doha-698949,Doha,/series/kuwait-tour-of-qatar-2019-1192554/qatar-vs-kuwait-2nd-t20i-1192557/full-scorecard,817
"Jul 4, 2019",/cricket-grounds/west-end-park-international-cricket-stadium-doha-698949,Doha,/series/kuwait-tour-of-qatar-2019-1192554/qatar-vs-kuwait-1st-t20i-1192556/full-scorecard,816
"Jun 29, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/maldives-vs-thailand-6th-match-1186493/full-scorecard,815
"Jun 28, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/malaysia-vs-maldives-5th-match-1186492/full-scorecard,814
"Jun 27, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/malaysia-vs-thailand-4th-match-1186491/full-scorecard,813
"Jun 26, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/maldives-vs-thailand-3rd-match-1186490/full-scorecard,812
"Jun 25, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/malaysia-vs-maldives-2nd-match-1186489/full-scorecard,810
"Jun 24, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/malaysia-tri-nation-t20i-2019-1186474/malaysia-vs-thailand-1st-match-1186488/full-scorecard,809
"Jun 20, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/denmark-vs-italy-11th-match-1189744/full-scorecard,806
"Jun 20, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/germany-vs-jersey-12th-match-1185190/full-scorecard,807
"Jun 20, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-denmark-9th-match-1189743/full-scorecard,804
"Jun 20, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/germany-vs-norway-10th-match-1185188/full-scorecard,805
"Jun 19, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/italy-vs-jersey-14th-match-1185192/full-scorecard,802
"Jun 19, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/denmark-vs-germany-15th-match-1185193/full-scorecard,803
"Jun 19, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-norway-13th-match-1185191/full-scorecard,801
"Jun 18, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/denmark-vs-italy-11th-match-1185189/full-scorecard,800
"Jun 18, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-denmark-9th-match-1185187/full-scorecard,799
"Jun 17, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/denmark-vs-norway-4th-match-1185182/full-scorecard,798
"Jun 16, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-italy-7th-match-1185185/full-scorecard,796
"Jun 16, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/jersey-vs-norway-8th-match-1185186/full-scorecard,797
"Jun 16, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/germany-vs-italy-5th-match-1185183/full-scorecard,794
"Jun 16, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/denmark-vs-jersey-6th-match-1185184/full-scorecard,795
"Jun 15, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-germany-3rd-match-1185181/full-scorecard,793
"Jun 15, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/icc-wt20-wc-eu-final-2019-1185163/guernsey-vs-jersey-1st-match-1185179/full-scorecard,791
"Jun 15, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/icc-wt20-wc-eu-final-2019-1185163/italy-vs-norway-2nd-match-1185180/full-scorecard,792
"Jun 1, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/jersey-tour-of-guernsey-2019-1185174/guernsey-vs-jersey-2nd-t20i-1185201/full-scorecard,789
"Jun 1, 2019",/cricket-grounds/king-george-v-sports-ground-castel-366605,Castel,/series/jersey-tour-of-guernsey-2019-1185174/guernsey-vs-jersey-3rd-t20i-1185202/full-scorecard,790
"May 31, 2019",/cricket-grounds/college-field-st-peter-port-366603,St Peter Port,/series/jersey-tour-of-guernsey-2019-1185174/guernsey-vs-jersey-1st-t20i-1185200/full-scorecard,788
"May 25, 2019",/cricket-grounds/sportpark-maarschalkerweerd-utrecht-58705,Utrecht,/series/germany-v-italy-2019-1178992/germany-vs-italy-2nd-t20i-1178996/full-scorecard,787
"May 25, 2019",/cricket-grounds/sportpark-maarschalkerweerd-utrecht-58705,Utrecht,/series/germany-v-italy-2019-1178992/germany-vs-italy-1st-t20i-1178995/full-scorecard,786
"May 22, 2019",/cricket-grounds/kyambogo-cricket-oval-kampala-59402,Kampala,/series/icc-wt20-wc-af-final-2019-1184248/ghana-vs-nigeria-7th-match-1184900/full-scorecard,782
"May 21, 2019",/cricket-grounds/lugogo-cricket-oval-kampala-59401,Kampala,/series/icc-wt20-wc-af-final-2019-1184248/botswana-vs-nigeria-5th-match-1184263/full-scorecard,780
"May 21, 2019",/cricket-grounds/kyambogo-cricket-oval-kampala-59402,Kampala,/series/icc-wt20-wc-af-final-2019-1184248/ghana-vs-kenya-6th-match-1184261/full-scorecard,781
"May 20, 2019",/cricket-grounds/kyambogo-cricket-oval-kampala-59402,Kampala,/series/icc-wt20-wc-af-final-2019-1184248/kenya-vs-nigeria-1st-match-1184259/full-scorecard,776
"May 12, 2019",/cricket-grounds/royal-brussels-cricket-club-ground-waterloo-418531,Waterloo,/series/germany-tour-of-belgium-2019-1183918/belgium-vs-germany-3rd-t20i-1183922/full-scorecard,775
"May 11, 2019",/cricket-grounds/royal-brussels-cricket-club-ground-waterloo-418531,Waterloo,/series/germany-tour-of-belgium-2019-1183918/belgium-vs-germany-2nd-t20i-1183921/full-scorecard,774
"May 11, 2019",/cricket-grounds/royal-brussels-cricket-club-ground-waterloo-418531,Waterloo,/series/germany-tour-of-belgium-2019-1183918/belgium-vs-germany-1st-t20i-1183920/full-scorecard,773
"Apr 27, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/mexico-vs-panama-7th-match-1181409/full-scorecard,770
"Apr 27, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/belize-vs-costa-rica-8th-match-1181410/full-scorecard,771
"Apr 26, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/belize-vs-panama-5th-match-1181408/full-scorecard,769
"Apr 26, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/mexico-vs-costa-rica-4th-match-1181407/full-scorecard,768
"Apr 25, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/costa-rica-vs-panama-2nd-match-1181406/full-scorecard,767
"Apr 25, 2019",/cricket-grounds/reforma-athletic-club-naucalpan-462697,Naucalpan,/series/ca-cricket-championships-2019-1181399/mexico-vs-belize-1st-match-1181405/full-scorecard,766
"Mar 30, 2019",/cricket-grounds/la-manga-club-bottom-ground-568785,Cartagena,/series/spain-tri-series-2019-1175337/spain-vs-malta-5th-match-1175346/full-scorecard,765
"Mar 29, 2019",/cricket-grounds/la-manga-club-bottom-ground-568785,Cartagena,/series/spain-tri-series-2019-1175337/spain-vs-malta-3rd-match-1175344/full-scorecard,764
"Mar 24, 2019",/cricket-grounds/amini-park-port-moresby-518990,Port Moresby,/series/icc-wt20-eap-final-2018-19-1176786/philippines-vs-vanuatu-5th-match-1176796/full-scorecard,761
"Mar 23, 2019",/cricket-grounds/amini-park-port-moresby-518990,Port Moresby,/series/icc-wt20-eap-final-2018-19-1176786/philippines-vs-vanuatu-3rd-match-1176794/full-scorecard,759
"Jan 24, 2019",/cricket-grounds/al-amerat-cricket-ground-oman-cricket-ministry-turf-1-1095893,Al Amerat,/series/acc-western-region-t20-2018-19-1171739/qatar-vs-saudi-arabia-final-1171762/full-scorecard,729
